"id","comment"
,"Salam sukses selalu semoga bsa bermanffat buat yg lain jg pak"
,"Hi Kak Nissa, untuk Sway saat ini tidak tersedia .apknya, karena aplikasi ini berbasis web. terima kasih"
"7v5phAAdDIc",
,"cek channel saya yah bang"
"dXaEC5T2-AQ",
,"Terlalu bertele tele mas...."
,"makasih mas penjelasannya. untuk menambahkan guru lain bagaimana caranya?"
,"trims ilmunya"
,"Apakah ada video atau manual book lengkapnya mas...saya serius berminat mendalami power BI ini."
,"HADIR @Anda Sukanda, S.Pd. SMP Negeri 2 Jatiwangi Kabupaten Majalengka Jawa Barat"
"m07DOXxiYIo",
"URg61BuIJHM",
,"Terima kasih Bu"
,"Sway kak"
,"Untuk versi web bisa. Namun untuk versi desktop, harus Windows. Tapi di Macbook bisa install Windows kok 😊"
"2Zr2KeXjiy4",
"vKPcrsse27I",
,"Terima kasih Bu 🙏"
"EcHxaLVYuos",
"fjLi_5cUhI4",
,"Sangat membantu dan pembelajaran jd menyenangkan"
"VPaPkyFZ-XQ",
"Q4Nt-xyxGp4",
"dSmh5p18Lv4",
"y28BcLmasEc",
"FcI3zoPolEo",
"3JZ6ar8O_fQ",
"2FEQ3RWUJDU",
"2EiZff2fVu4",
"BnY_RfGkXFo",
"EhPe-G9UPdk",
"4bfVfAuDSxI",
"8Uy6Bwyqb0I",
"VRFK1VxLn9Y",
"88Y7BB7eNc4",
"LFyPAlLhf3c",
,"mohon maaf kak, kami tidak menyediakan, namun mungkin kakak bisa mempelajarinya melalui tautan ini https://docs.microsoft.com/en-us/power-bi/#pivot=home&panel=home-all"
"BZAn5CkjMnU",
"7drNaXQyCQo",
"Va6fsWoAjPY",
"T_HlzJPMhZA",
,"Kok di calendar saya engga ada icon tanda panah kebawah itu ya? engga ada pilihan live event nya."
"lktVxHZmtqU",
,"Bang mo nanya,ini murid sudah login  n masuk di beranda dan di suruh gurunya nyari clas notebook tpi kok ga ada ya,,mohon di jawab ya bang"
