,text_bersih
165,sodonewith kata adminnya segala informasi bakal d sampein d waemail Dn blm ada grup officialnya gtu
166,Mau tanya ada yang udah lolos msib 5 ga terus ambil tawaran di mari belajar Microsoft ini
167,sodonewith udah ada kak itu grup wa nya coba cek
168,intananggi15 aku udah lolos kak
169,Kpn ad lagi
170,doniindraaa hi kak tunggu postingan kami selanjutnya ya turn on notifications agar tidak terlewat 
171,bdindaaaa oh iya kak terima kasih banyak yaa kak untuk jawabannya Sangat bermanfaat sukses selalu kak
172,Kalo udah dinyatakan lolos maribelajar di web kampus merdeka itu ga akan ada seleksi lagi kan
173,halo min izin bertanya untuk pengumuman setelah pretest kapan ya apakah nanti ada email lebih lanjut untuk pengumuman lolostidaknya Terima kasih
174,justninn halo kakk boleh tau surat rekomendasi yg diminta itu formatnya gimana ya saya juga udah dapet email permintaan surkom cuma ngga ngerti apa bedanya dg surkom pas daftar 
175,trsiurrse Saya belum menyertakan surkom saat pendaftaran baru mau upload setelah lolos Untuk formatnya saya dari kampus mungkin sama aja Kak
176,jeslwln kakak sudah pengumuman ya
177,justninn oh okeokeee makasih kak
178,Min maribelajarid kenapa ya saya sudah pretes mulai tanggal 21 Januari kemarin tapi Sampai sekarang belum ada info lulus atau tidak nya hasil pretes saya min 
179,Padahal yang lain cepet bangett dapat infonya hmm
180,pintarmt kk nya belum dpt email juga
181,dimassamid99 blm kak 
182,dimassamid99 kakak udah  dapat email pengumuman hasil pretes  ya
183,pintarmt belom jugaa
184,dimassamid99 Kaka kapan pre test nya Tanggal 21 juga kah
185,frdwardah btw udh ada tapi unofficial gt ka
186,rizkanamira aku boleh join ga 
187,rizkanamira dimana tuh kak Mau dong boleh dm ya
188,frdwardah ayo siniii
189,thisisanilau saya daftarnya tanggal 20 kakterus dapet email untuk pretes di tanggal 21 kak
190,thisisanilau iya ka saya kemarin dapat email pengumuman jadwal pretes tanggal 21 nah di tanggal itu juga saya kirim jawaban pretes nya kak Tapi sampai sekarang pengumuman hasil pretes nya lolos atau engga
191,thisisanilau Kaka daftar tanggal 12 Januari ya
192,thisisanilau Aamiin ya Rabbalalamiin
193,thisisanilau semoga kita lolos ya kak 
194,thisisanil Aamiin siap kaa
195,Jadwal untuk pembelajarannya apakah akan diberitahukan sebelum kelas d mulai kak
196,pawestm udah ambil tawaran tp kok gadisuruh upload surat rekomendasi itu ada sebelah mana ya aku cuma upload suratnya pas pendaftaran aja
197,rizkanamira boleh gabung dong
198,ikhasawitri dm kaa
199,bilkishilmiap pas pendaftaran itu ga wajib upload
200,izin bertanya kalau konversi mata kuliah itu bisa dilakukan kalau program studi independen sudah selesai atau bisa sambil berjalan ya
201,Permisi Ada yang sudah lolos di mariBelajar Kalau sudah tolong info dong jika ada group whatsapptelegramnya terimakasih 
202,esihtheamean ada grup wa nih tpi yg unoff
203,pintarmt hai kak aku juga pretes tanggal 21 januari tapi juga belum dapet email sampai sekarang
204,asriliap Kaka daftar di modern educator track
205,ynhhdh saya boleh masuk nggak kak Kalau boleh saya DM
206,pintarmt iya kak
207,Hai temen temen mau tanya yang test tanggal 21 januari adakah yang sudah dapat pengumuman lulus 
208,maribelajarid apakah ini sore kak
209,rizkanamira halo kak maaf jbjb Boleh ikut gabung grup wa nya kak
210,alviiinisn dm ya kak
211,frdwardah aku mau gabung bisa ga ka
212,ynhhdh saya boleh ikut masuk ka
213,virginiaagst dm ya kak
214,Miin koo saya gabisa buat tanggal sesuai jadwal ya cuma pas saya perbarui tanggal lain yang tidak sesuai jadwal kontrak itu bisa mohon bantuannya min
215,Selamat malam kak mohon maaf mengganggu Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia Saya harap mendapatkan link baru soalnya sudah dekat tanggal 5 Terima kasih
216,rizkanamira halo ka aku boleh join ngga
217,hinaell dm ya ka
218,virginiaagst boleh kak
219,esihtheamean halo kak Aku juga lolos nihh Aku boleh join grupnya ga kak Kalo boleh nanti aku DM kakak
220,imursun boleh kak
221,ngeri narsumnya ini 
222,fitasukiyani mantaaap kan kak jangan lupa hadirr 
223,Wah mantab Baru tau
224,gemilangtirto
225,whoopsyjeffry07 ga main menkrep
226,Kereeen 
227,Selamat ya maribelajar bangga sebagai bagian dari mentee maribelajar batch ke dua 
228,varifz terima kasih kak telah menjadi bagian kami belajar dan bertumbuh bersama kami 
229,frjuliaa terima kasih kak
230,
231,Mbak Ningggg
232,
233,Waaaaakewrennnn
234,Keyennnn banget 
235,Cemunguuut
236,bupatimanchesteru 
237,sansanparwati hihi timaaci 
238,kakaibl hihi timaaci 
239,thisintaants hihi timaaci tteh semangat jugaa
240,ngeri parahhh
241,azizaaanz naaah ini nihhh yang lebih ngeri
242,Wahh mantap Semoga lancar terus 
243,mastur99 masyaallah terimakasih Mas Tur
244,Kk  Rama ini Rafa sekarang  tinggal di mana k
245,keren bgt kak ramaaa
246,salsa648 halooo Rafa ini Rafa apa Vita coba hayoo Ka Rama masih di Karanganyar Faa
247,nazhifafarradina wainiiii niii yang lebihhh keren nihhh Selamat jugaaaa niiihhh udah jadi mabaaaa
248,wah sipaling merdeka xixixi
249,mamammamamat gass semua program pokoke
250,ramadyawd cuan cuan cuan
251,Min ini online atau offline yah maribelajarid 
252,Belum ada pengumuman min
253,rafaunais Hi kak saat ini masih belum ada mohon berkenan menunggu ya terima kasih 
254,syahbani731 Hi Kak pelaksanaan pembelajaran sepenuhnya dijalankan secara online terima kasih
255,maribelajarid untuk kelanjutan seleksi tes berikutnya gimana min Karena ada beberapa temen saya yg blom dapet email tes
256,rafaunais Hi kak untuk selanjutnya akan ada uji wawasan kebinekaan Bagi yang merasa belum mendapatkan email pretest bisa diarahkan untuk memeriksa SPAM kak terima kasih
